,ip,frequency,org,city,country,region,postal,hostname,location,timezone
977,192.35.168.234,1827,AS237 Merit Network Inc.,Marquette,US,Michigan,49855,worker-14.sfj.censys-scanner.com,"46.5435,-87.3954",America/Detroit
978,192.35.169.45,1820,AS237 Merit Network Inc.,Marquette,US,Michigan,49855,worker-17.sfj.censys-scanner.com,"46.5435,-87.3954",America/Detroit
979,148.72.133.152,1819,"AS30083 GoDaddy.com, LLC",St. Louis,US,Missouri,63150,ip-148-72-133-152.ip.secureserver.net,"38.6273,-90.1979",America/Chicago
980,118.161.104.102,1819,AS3462 Data Communication Business Group,Taoyuan City,TW,Taiwan,0,118-161-104-102.dynamic-ip.hinet.net,"24.9937,121.2970",Asia/Taipei
981,45.129.33.167,1817,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
982,185.193.90.238,1816,0,Krasnoobsk,RU,Novosibirsk Oblast,630105,0,"54.8490,83.1072",Asia/Novosibirsk
983,80.82.65.80,1809,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,tg18.pectol.pl,"52.3740,4.8897",Europe/Amsterdam
984,104.27.137.224,1807,"AS13335 Cloudflare, Inc.",San Francisco,US,California,94107,0,"37.7621,-122.3971",America/Los_Angeles
985,10.72.2.102,1804,0,0,0,0,0,0,0,0
986,192.223.26.35,1803,"AS14586 Nuclearfallout Enterprises, Inc.",Castle Hayne,US,North Carolina,28429,c-192-223-26-35.premium-chicago.nfoservers.com,"34.3557,-77.9000",America/New_York
987,172.105.89.161,1800,"AS63949 Linode, LLC",Frankfurt am Main,DE,Hesse,60311,implant-scanner-victims-will-be-notified.threatsinkhole.com,"50.1155,8.6842",Europe/Berlin
988,45.134.26.222,1799,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
989,51.158.161.10,1794,AS12876 ONLINE S.A.S.,Haarlem,NL,North Holland,2011,10-161-158-51.instances.scw.cloud,"52.3808,4.6368",Europe/Amsterdam
990,45.148.10.28,1793,AS48090 PPTECHNOLOGY LIMITED,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
991,158.69.11.133,1790,AS16276 OVH SAS,Montréal,CA,Quebec,H3A,fuaming.xyz,"45.5040,-73.5747",America/Toronto
992,103.145.13.10,1786,AS213371 ABC Consultancy,Zwolle,NL,Overijssel,8035,0,"52.5538,6.1537",Europe/Amsterdam
993,97.119.152.153,1784,"AS209 CenturyLink Communications, LLC",Omaha,US,Nebraska,68101,97-119-152-153.omah.qwest.net,"41.2563,-95.9404",America/Chicago
994,13.232.188.145,1783,"AS16509 Amazon.com, Inc.",Mumbai,IN,Maharashtra,400070,ec2-13-232-188-145.ap-south-1.compute.amazonaws.com,"19.0728,72.8826",Asia/Kolkata
995,45.146.165.39,1776,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
